<cur_step>,<num_susceptible>,<num_infected>,<num_recovered>
1222,30,20,0
1223,30,20,0
1224,30,20,0
1225,30,20,0
1226,30,20,0
1227,30,20,0
1228,30,20,0
1229,30,20,0
1230,30,20,0
1231,30,20,0
1232,30,20,0
1233,30,20,0
1234,30,20,0
1235,30,20,0
1236,30,20,0
1237,30,20,0
1238,30,20,0
1239,30,20,0
1240,30,20,0
1241,30,20,0
1242,30,20,0
1243,30,20,0
1244,30,20,0
1245,30,20,0
1246,30,20,0
1247,30,20,0
1248,30,20,0
1249,30,20,0
1250,30,20,0
1251,30,20,0
1252,30,20,0
1253,30,20,0
1254,30,20,0
1255,30,20,0
1256,30,20,0
1257,30,20,0
1258,30,20,0
1259,30,20,0
1260,30,20,0
1261,30,20,0
1262,30,20,0
1263,30,20,0
1264,30,20,0
1265,30,20,0
1266,30,20,0
1267,30,20,0
1268,30,20,0
1269,29,21,0
1270,29,21,0
1271,29,21,0
1272,29,21,0
1273,29,21,0
1274,29,21,0
1275,29,21,0
1276,29,21,0
1277,29,21,0
1278,29,21,0
1279,29,21,0
1280,29,21,0
1281,29,21,0
1282,29,21,0
1283,29,21,0
1284,29,21,0
1285,29,21,0
1286,29,21,0
1287,29,21,0
1288,29,21,0
1289,29,21,0
1290,29,21,0
1291,29,21,0
1292,29,21,0
1293,29,21,0
1294,28,22,0
1295,28,22,0
1296,28,22,0
1297,28,22,0
1298,28,22,0
1299,28,22,0
1300,28,22,0
1301,28,22,0
1302,28,22,0
1303,28,22,0
1304,28,22,0
1305,28,22,0
1306,28,22,0
1307,27,23,0
1308,27,23,0
1309,27,23,0
1310,27,23,0
1311,27,23,0
1312,27,23,0
1313,27,23,0
1314,27,23,0
1315,27,23,0
1316,27,23,0
1317,26,24,0
1318,26,24,0
1319,26,24,0
1320,26,24,0
1321,26,24,0
1322,26,24,0
1323,26,24,0
1324,26,24,0
1325,26,24,0
1326,26,24,0
1327,26,24,0
1328,26,24,0
1329,26,24,0
1330,26,24,0
1331,26,24,0
1332,26,24,0
1333,26,24,0
1334,26,24,0
1335,26,24,0
1336,26,24,0
1337,26,24,0
1338,26,24,0
1339,26,24,0
1340,26,24,0
1341,26,24,0
1342,26,24,0
1343,26,24,0
1344,26,24,0
1345,26,24,0
1346,26,24,0
1347,26,24,0
1348,26,24,0
1349,26,24,0
1350,26,24,0
1351,26,24,0
1352,26,24,0
1353,26,24,0
1354,26,24,0
1355,26,24,0
1356,26,24,0
1357,26,24,0
1358,26,24,0
1359,26,24,0
1360,26,24,0
1361,26,24,0
1362,26,24,0
1363,26,24,0
1364,26,24,0
1365,26,24,0
1366,26,24,0
1367,26,24,0
1368,26,24,0
1369,26,24,0
1370,26,24,0
1371,26,24,0
1372,26,24,0
1373,26,24,0
1374,26,24,0
1375,26,24,0
1376,26,24,0
1377,26,24,0
1378,26,24,0
1379,26,24,0
1380,26,24,0
1381,26,24,0
1382,26,24,0
1383,26,24,0
1384,26,24,0
1385,26,24,0
1386,26,24,0
1387,26,24,0
1388,26,24,0
1389,26,24,0
1390,26,24,0
1391,26,24,0
1392,26,24,0
1393,26,24,0
1394,26,24,0
1395,26,24,0
1396,26,24,0
1397,26,24,0
1398,26,24,0
1399,26,24,0
1400,26,24,0
1401,26,24,0
1402,26,24,0
1403,26,24,0
1404,26,24,0
1405,26,24,0
1406,26,24,0
1407,26,24,0
1408,26,24,0
1409,26,24,0
1410,26,24,0
1411,26,24,0
1412,26,24,0
1413,26,24,0
1414,26,24,0
1415,26,24,0
1416,26,24,0
1417,26,24,0
1418,26,24,0
1419,26,24,0
1420,26,24,0
1421,26,24,0
1422,26,24,0
1423,26,24,0
1424,26,24,0
1425,26,24,0
1426,26,24,0
1427,26,24,0
1428,26,24,0
1429,26,24,0
1430,26,24,0
1431,26,24,0
1432,26,24,0
1433,26,24,0
1434,26,24,0
1435,26,24,0
1436,26,24,0
1437,26,24,0
1438,26,24,0
1439,26,24,0
1440,26,24,0
1441,26,24,0
1442,26,24,0
1443,26,24,0
1444,26,24,0
1445,26,24,0
1446,26,24,0
1447,26,24,0
1448,26,24,0
1449,26,24,0
1450,26,24,0
1451,26,24,0
1452,26,24,0
1453,26,24,0
1454,26,24,0
1455,26,24,0
1456,26,24,0
1457,26,24,0
1458,26,24,0
1459,26,24,0
1460,26,24,0
1461,26,24,0
1462,26,24,0
1463,26,24,0
1464,26,24,0
1465,26,24,0
1466,26,24,0
1467,26,24,0
1468,26,24,0
1469,26,24,0
1470,26,24,0
1471,26,24,0
1472,26,24,0
1473,26,24,0
1474,26,24,0
